GivenName,Surname,Name,DisplayName,Department,Subdepartment,Description,Reports To,Site,samAccountName,UserPrincipalName,EmailAddress,Office,OfficePhone,EmployeeNumber,Path
Rod,Butters,Rod Butters,Rod Butters,Head Office,Executives,Co-Owner and CEO,N/A,Head Office,Rod.Butters,Rod.Butters@raudz.com,Rod.Butters@raudz.com,C200,4510,20220001,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Audrey,Surrao,Audrey Surrao,Audrey Surrao,Head Office,Executives,Co-Owner and CFO,N/A,Head Office,Audrey.Surrao,Audrey.Surrao@raudz.com,Audrey.Surrao@raudz.com,C201,4511,20220002,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
James,Hanna,James Hanna,James Hanna,Head Office,Executives,Chef de Cuisine,CEO,Head Office,James.Hanna,James.Hanna@raudz.com,James.Hanna@raudz.com,C202,4512,20220003,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Jason,Whitfield,Jason Whitfield,Jason Whitfield,Head Office,Executives,Pastry Chef,CEO,Head Office,Jason.Whitfield,Jason.Whitfield@raudz.com,Jason.Whitfield@raudz.com,C203,4513,20220004,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Anthony,Chalmers,Anthony Chalmers,Anthony Chalmers,Head Office,Executives,Restaurant Manager,CEO,Head Office,Anthony.Chalmers,Anthony.Chalmers@raudz.com,Anthony.Chalmers@raudz.com,C204,4514,20220005,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Scarlett,Johansson,Scarlett Johansson,Scarlett Johansson,Head Office,Executives,CIO,CEO,Head Office,Scarlett.Johansson,Scarlett.Johansson@raudz.com,Scarlett.Johansson@raudz.com,C205,4515,20220006,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Al,Pacino,Al Pacino,Al Pacino,Head Office,Executives,VP - Human Resources,CEO,Head Office,Al.Pacino,Al.Pacino@raudz.com,Al.Pacino@raudz.com,C206,4516,20220007,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Meryl,Streep,Meryl Streep,Meryl Streep,Head Office,Executives,VP - Finance,CFO,Head Office,Meryl.Streep,Meryl.Streep@raudz.com,Meryl.Streep@raudz.com,C207,4517,20220008,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Samuel,Jackson,Samuel Jackson,Samuel Jackson,Head Office,Executives,VP - Marketing and PR,CFO,Head Office,Samuel.Jackson,Samuel.Jackson@raudz.com,Samuel.Jackson@raudz.com,C208,4518,20220009,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Robert,DowneyJr,Robert DowneyJr,Robert DowneyJr,Head Office,HR,Recruiter,VP - Human Resources,Head Office,Robert.DowneyJr,Robert.DowneyJr@raudz.com,Robert.DowneyJr@raudz.com,C209,4519,20220010,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
